Layer_Src,Layer_Dst,Neuron_Src_ID,Neuron_Dst_ID,Base_Weight,Spline_0,Spline_1,Spline_2,Spline_3,Spline_4,Spline_5,Spline_6,Spline_7,Spline_8,Spline_9,Spline_10
0,1,2,8,-0.04677837,0.100640066,-0.09718832,0.117403015,0.06992094,-0.05137885,0.047172032,-0.042954817,-0.08755436,0.052444447,-0.047478423,0.01449842
0,1,3,8,-0.062915094,0.5465822,-0.08896317,0.061981607,-0.22623666,0.23240358,-0.0031697256,-0.09566416,0.0007334203,-0.01564184,-0.029171698,0.10577604
0,1,4,8,-0.09841178,-0.075604275,0.26204407,0.0577266,-0.05717534,-0.13146141,-0.12399169,-0.0907893,-0.1214581,-0.05600511,-0.027909072,-0.024685502
0,1,5,8,0.07973144,-0.034391522,0.04103767,0.12597832,-0.020384753,-0.05772318,0.037704937,0.043217845,-0.0324992,0.01005534,-0.051445495,0.026738591
0,1,6,8,0.08055944,0.48088315,-0.2169374,-0.14067094,-0.46503502,-0.047951087,-0.0044545215,-0.10238732,-0.06612408,0.114238456,-0.111435525,0.06814208
0,1,7,8,0.012926453,-0.061649907,0.2091396,0.15980354,-0.11931229,0.008381128,0.039718695,0.031608824,-0.08622156,-0.1114272,-0.10625024,-0.10300427
0,1,8,8,-0.00015863053,-0.08091586,-0.103407964,-0.06092316,0.12781547,-0.08052957,0.064957924,0.08835786,-0.06511966,-0.028952124,-0.10046961,-0.06886738
0,1,0,9,-0.012309897,0.3387707,-0.003653316,-0.21663591,0.19826093,-0.20654437,-0.02300814,0.13267517,0.0442807,0.027539626,-0.055708516,0.1065759
0,1,1,9,0.02261213,0.077456705,-0.16963501,-0.12221992,0.0154775595,-0.06575514,0.015609375,-0.08625958,-0.015072623,-0.08516364,-0.015166031,0.060507767
0,1,2,9,-0.039819278,0.10855616,-0.050007105,-0.0057762004,-0.08011449,-0.11238904,0.058416434,0.03402514,-0.03260876,-0.019332064,0.016879411,0.04434534
0,1,3,9,0.052757278,0.35107437,0.16048579,-0.049570356,0.14241955,-0.010922098,-0.080228604,0.021424102,-0.09309207,0.040132094,0.114922106,-0.10371955
0,1,4,9,-0.0013999824,-0.08337608,-0.037193194,-0.01673023,0.098226696,0.095598854,0.027788874,0.086638734,-0.038978167,0.096116446,0.044208214,-0.032309264
0,1,5,9,0.046668895,-0.0791765,-0.032406062,-0.05396008,-0.078801766,0.06753176,0.028384246,-0.110911064,0.08568137,-0.05318771,-0.07318717,-0.022180438
0,1,6,9,-0.08098501,0.34661594,0.08988716,-0.03180921,0.013130003,0.079406954,-0.028522125,-0.0994026,-0.09078246,0.011356134,-0.047667187,-0.072520986
0,1,7,9,-0.06814928,0.06498552,-0.06878643,-0.08118838,-0.035094604,-0.04327439,-0.01105111,0.051350407,-0.046929944,0.09360869,-0.046100177,0.03126771
0,1,8,9,0.06342173,-0.08842769,-0.04331916,0.0681561,-0.03335402,0.0030579849,0.058655985,-0.021458663,-0.0052931523,-0.037466224,0.12029254,0.006349191
0,1,0,10,-0.103799,0.34447283,0.09430495,0.073323056,-0.2901077,0.22885634,0.10472408,-0.2349043,-0.016932925,0.01551104,0.02451075,0.009424642
0,1,1,10,0.005939349,-0.024472885,0.066883795,0.1079295,0.024677033,0.124014564,-0.25070593,0.0044159545,0.029788623,0.018473843,-0.12872714,0.081712864
0,1,2,10,-0.002132925,-0.033646733,0.057308204,0.040834524,0.06135071,-0.08630083,0.046775945,0.083879076,0.034183603,0.0876586,0.05949326,-0.04575643
0,1,3,10,-0.02760542,0.34512112,-0.09054981,0.095865406,-0.30008045,0.079569906,0.07115484,-0.02060998,0.018278684,-0.03858979,-0.021954568,0.06549618
0,1,4,10,-0.06425703,-0.005601473,0.19518648,0.040340245,0.006153785,0.069880486,-0.19727652,0.14857055,-0.09652557,-0.03132018,0.042926367,-0.09581474
0,1,5,10,0.025731212,0.0851065,-0.09821984,-0.0505038,-0.054830384,-0.0012037762,0.05597099,0.029622741,-0.016737208,0.030813767,0.08824358,-0.025572859
0,1,6,10,0.09897039,0.30780557,-0.20178854,-0.0428466,-0.25690284,-0.06315816,0.054880764,0.19134748,-0.16013573,-0.11126082,-0.054249357,0.12232835
0,1,7,10,-0.104161516,-0.049903076,0.16724308,0.017006246,-0.10421677,0.04051157,-0.08771223,-0.0352694,0.005080133,-0.084196664,-0.085609175,-0.093384795
0,1,8,10,0.103121445,-0.023819536,-0.04402379,0.05033251,-0.035973065,-0.07385887,-0.07768011,-0.02479899,-0.041985344,0.006396375,-0.080883674,0.05739408
0,1,0,11,-0.028674725,-0.81688946,-0.20545818,-0.009780105,0.10751183,-0.21122505,-0.1880126,0.41835943,0.02590159,0.049889047,-0.07567304,0.090421386
0,1,1,11,0.06807784,0.08264471,0.17931229,0.16867206,0.11825094,-0.011813464,0.017430246,0.114256166,0.012150054,-0.10703772,0.09990754,0.07578779
0,1,2,11,0.08305225,-0.029008746,0.08298314,0.071336895,0.0893599,0.030783057,0.04697471,0.07098516,0.117226414,-0.0047917785,-0.02931278,0.06290706
0,1,3,11,-0.01356097,-0.8691836,-0.23877221,0.012690016,-0.13207892,-0.14476651,-0.14639547,0.10548897,0.05608474,-0.021052497,-0.012479995,0.028973088
0,1,4,11,-0.03789029,0.053480037,0.014990596,0.099139795,0.068580456,0.06248223,0.11231814,-0.043991897,-0.026180642,-0.05004631,-0.031453375,0.10872089
0,1,5,11,0.00031321982,-0.05068134,-0.10916878,-0.030120121,-0.038703296,-0.09949857,-0.007995501,0.09765672,0.085605524,0.019304326,-0.06236881,0.066847436
0,1,6,11,0.064945295,-0.7395663,-0.18241936,0.029133748,-0.30390194,0.010762873,-0.04943386,0.081267744,-0.077209,-0.0626661,-0.09643815,-0.00012406475
0,1,7,11,0.034899976,0.03182327,-0.044303216,-0.06535578,0.0631735,0.030465962,-0.07501199,0.04325016,0.076262966,0.09522554,0.067536555,0.031066142
0,1,8,11,-0.077087104,0.01762829,-0.060170997,0.07872868,-0.09378046,0.04420347,0.07864032,-0.071162835,0.117713936,0.073249176,0.050737396,-0.09230356
0,1,0,12,0.0002429185,-0.33220458,0.0020652409,-0.06984239,0.13053031,-0.030022757,-0.054047357,-0.038613148,-0.019398358,0.06734472,0.046845146,-0.031110907
0,1,1,12,0.013404529,-0.017254114,0.13007697,-0.04972195,-0.06538921,-0.094876446,0.06162163,0.026088497,-0.028136732,0.06224775,0.014625587,-0.05990088
0,1,2,12,-0.054440167,0.05244375,-0.07271175,-0.025468316,-0.04223005,0.023524914,-0.085510746,0.08938561,0.05054417,0.004491201,-0.044757202,0.09324781
0,1,3,12,-0.00046302803,-0.49650666,-0.10031453,-0.030945787,-0.08982104,-0.109977484,-0.09194308,0.006158572,-0.06957914,-0.060479496,-0.033743035,-0.03441288
0,1,4,12,-0.0679393,-0.033265404,0.107464366,0.015536532,-0.118054904,-0.008039578,0.034447487,0.05324068,0.019052185,-0.09270627,0.0994389,-0.01273521
0,1,5,12,0.027422331,0.10199385,0.042093344,-0.0060747555,0.0361806,0.11566731,0.03354936,-0.07281499,0.061773483,0.078837395,-0.07997951,0.07323805
0,1,6,12,-0.09354613,-0.45486343,0.018837998,-0.10935754,0.06944952,-0.060707778,0.05979535,0.14974211,-0.05251452,0.041915335,-0.055453602,0.043273207
0,1,7,12,0.042637162,-0.020698838,0.08648239,0.08980769,0.0094487285,0.03495219,-0.030132245,-0.026357168,-0.12123392,-0.01368519,0.031323653,0.09861056
0,1,8,12,-0.098477155,-0.021082312,-0.10837,-0.056013644,0.006681042,0.08899419,-0.00030434132,0.044510417,-0.07133989,0.04522482,0.036938366,0.02594956
0,1,0,13,0.063594155,-0.5600734,-0.24075767,-0.006374226,0.25957912,-0.007192691,0.06768214,-0.07036344,-0.07431936,-0.023368303,0.036936622,-0.12458103
0,1,1,13,0.104270324,0.071305595,-0.05737165,0.034220405,0.033841014,-0.05023402,-0.040196773,0.042608164,0.08405084,-0.064408995,-0.035206616,-0.028940044
0,1,2,13,-0.056109343,0.08074855,0.084042616,-0.07746433,0.08373797,-0.0009228465,-0.10127221,0.10269595,0.025094153,0.02108177,0.07621471,0.101449616
0,1,3,13,0.0033926025,-0.5453544,0.054436743,-0.019901527,0.032968163,-0.06636669,-0.122652866,-0.0155787775,0.00643181,-0.013446495,0.10465591,-0.023455016
0,1,4,13,-0.07854832,0.068275906,-4.8053458e-05,-0.07672815,0.024311166,-0.084991924,-0.06478269,-0.09316011,0.018691132,-0.052374847,-0.10343308,0.024382524
0,1,5,13,-0.08146007,0.10719181,-0.08098631,-0.10432206,0.0687588,-0.05072868,-0.026638426,-0.10002315,-0.010020622,0.085686125,0.08920305,0.014338277
0,1,6,13,-0.06741481,-0.40455636,0.016766706,-0.049201295,0.13568614,0.0060713794,-0.14816585,0.09922806,0.052626155,-0.049282245,0.07267318,-0.07180884
